pNLP,seed,rawObjective,rawGapPercent,feasibleRaw,topologyMatch,maxEqRaw,maxIneqRaw,polishedObjective,polishedGapPercent,feasiblePolished,maxEqPolished,maxIneqPolished,iterations,runtimeCORAL,globalModelEvaluations,localObjectiveEvaluations,localConstraintEvaluations,totalModelEvaluations,totalOracleCalls,localNLPCalls,localNLPIterations,localNLPRuntime,topologyRepairChanges,polishRuntime,polishObjectiveCalls,topologyLabel
0.3,12010,68.009744050969,-1.41127001851981e-10,1,1,3.07442959979198e-12,0,68.0097440510668,2.65370583879207e-12,1,2.22044604925031e-16,0,81,124.9958348,13975,718137,718137,732112,1450249,2803,25189,114.4753074,4235,0.0200922,137,P2-P4-P6-P8
0.4,12001,68.009345005122,-0.000586748191089678,1,1,9.98378643879416e-06,2.66953126271119e-13,68.0097440510651,1.88057894087627e-13,1,4.44089209850063e-16,5.55111512312578e-17,300,715.0013352,55467,3284499,3284499,3339966,6624465,13641,114479,655.881244499998,16078,0.0192698,158,P2-P4-P6-P8
0.4,12002,68.0097440274035,-3.4791337265858e-08,1,1,7.47394368616483e-10,6.83897383169096e-14,68.0097440510651,1.46267250957043e-13,1,4.44089209850063e-16,0,81,200.4272991,14913,924384,924384,939297,1863681,3676,32381,183.8025812,4182,0.0394625,130,P2-P4-P6-P8
0.4,12003,68.0097440508587,-3.03358278484908e-10,1,1,6.60416166198274e-12,0,68.0097440510689,5.6626321441941e-12,1,3.33066907387547e-16,5.55111512312578e-17,81,202.3624135,14883,928771,928771,943654,1872425,3659,32512,186.3137422,4282,0.0197174,137,P2-P4-P6-P8
0.4,12004,68.0093418033004,-0.000591456077606849,1,1,9.98539413110677e-06,1.33226762955019e-15,68.0097440510651,1.04476607826459e-13,1,4.44089209850063e-16,0,300,576.7510057,55578,3288381,3288381,3343959,6632340,13693,114729,528.987566799999,16051,0.0108769,130,P2-P4-P6-P8
0.4,12005,68.009744050845,-3.23522263795414e-10,1,1,6.96154245360958e-12,0,68.0097440510651,1.04476607826459e-13,1,2.22044604925031e-16,0,81,725.1041943,14865,928250,928250,943115,1871365,3670,32542,706.896484600001,4145,0.0488432,133,P2-P4-P6-P8
0.4,12006,68.0097440504215,-9.46244637084243e-10,1,1,2.03844718882351e-11,0,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,188.7862541,14936,935838,935838,950774,1886612,3705,32805,173.0882634,4259,0.0458021,160,P2-P4-P6-P8
0.4,12007,68.0097440506346,-6.32898394891126e-10,1,1,2.09993133992725e-11,0,68.0097440510651,1.67162572522335e-13,1,2.22044604925031e-16,0,81,196.6283276,14916,935457,935457,950373,1885830,3667,32779,181.3275073,4198,0.0401469,130,P2-P4-P6-P8
0.4,12008,68.0097438936,-2.31533034461518e-07,1,1,3.93378785101817e-09,6.16173778666962e-15,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,152.1689109,14954,945925,945925,960879,1906804,3731,33173,140.6875155,4203,0.016202,104,P2-P4-P6-P8
0.4,12009,68.0097440507672,-4.37819672757561e-10,1,1,9.40625355383418e-12,6.43929354282591e-15,68.0097440510651,1.25371929391751e-13,1,2.22044604925031e-16,0,82,187.0007061,15030,941007,941007,956037,1897044,3674,33012,172.2527566,4238,0.0239506,104,P2-P4-P6-P8
0.4,12010,68.0097440503382,-1.06869122145685e-09,1,1,2.72057931738345e-11,4.21884749357559e-15,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,192.2970615,14850,934343,934343,949193,1883536,3647,32782,177.662543500001,4264,0.0358251,130,P2-P4-P6-P8
0.6,12001,68.0097440508302,-3.45211607580187e-10,1,1,7.83151321570585e-12,0,68.0097440510719,1.01969169238624e-11,1,4.44089209850063e-16,0,81,369.1228137,16805,1390767,1390767,1407572,2798339,5531,48666,342.1799904,4179,0.0221416,166,P2-P4-P6-P8
0.6,12002,68.009744050324,-1.08952385705745e-09,1,1,2.34302577339918e-11,4.44089209850063e-15,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,363.8393857,16791,1378276,1378276,1395067,2773343,5499,48242,337.1761364,4207,0.0237154,132,P2-P4-P6-P8
0.6,12003,68.0097240621732,-2.93912175180874e-05,1,1,9.99104915732723e-06,1.46771483855446e-13,68.0097440510651,8.35812862611676e-14,1,4.44089209850063e-16,0,203,628.0254989,42224,3369540,3369540,3411764,6781304,13891,117699,582.665110500001,10686,0.0287582,105,P2-P4-P6-P8
0.6,12004,68.0097440494631,-2.35536243748283e-09,1,1,5.06069630645811e-11,0,68.0097440510651,1.04476607826459e-13,1,4.44089209850063e-16,0,81,322.9559958,16730,1378288,1378288,1395018,2773306,5457,48223,300.5427839,4212,0.0109015,130,P2-P4-P6-P8
0.6,12005,68.0093441436346,-0.000588014902843801,1,1,9.99771507936842e-06,0,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,246,1836.392223,51161,4044187,4044187,4095348,8139535,16816,141144,1786.0575887,12985,0.0195461,130,P2-P4-P6-P8
0.6,12006,68.0093441147778,-0.000588057333259888,1,1,9.99907753573837e-06,6.66133814775094e-16,68.0097440510651,1.04476607826459e-13,1,2.22044604925031e-16,0,300,1794.3045463,62464,4894876,4894876,4957340,9852216,20507,170695,1727.492878,15980,0.0115449,130,P2-P4-P6-P8
0.6,12007,68.0097440504918,-8.42812795336048e-10,1,1,1.81247239439131e-11,7.60502771868232e-15,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,5.55111512312578e-17,81,261.0053713,16748,1379416,1379416,1396164,2775580,5480,48299,243.215773299999,4190,0.0316181,133,P2-P4-P6-P8
0.6,12008,68.0097440340132,-2.5072526194731e-08,1,1,5.3846893610654e-10,1.94844140821715e-14,68.0097440510651,1.04476607826459e-13,1,2.22044604925031e-16,0,81,283.6525552,16724,1380743,1380743,1397467,2778210,5488,48356,265.069076799999,4076,0.0099466,104,P2-P4-P6-P8
0.6,12009,68.0097440505631,-7.37918281078283e-10,1,1,1.62836411021772e-11,0,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,254.8055419,16672,1364787,1364787,1381459,2746246,5407,47791,237.1306861,4153,0.0241682,137,P2-P4-P6-P8
